epi_mcode,parid,loglik,rho,tau,beta1,beta2,beta3,beta4,beta5,beta6,nu,gamma,sigma,theta0,alpha,mu,sig_sq,delta,S_0,E_0,I_0,A_0,R_0,incid_0,pop_0
final,153,-1599.7709788382901,0.3574213427469008,442.1427478985214,5.254897899723294,2.6611705459278374,3.8593873777212506,2.880762516855467,4.6842027041730425,2.2710212463066943,0.9799223916932982,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09733765695210311,1.4331703604564272e-4,0.8864661382645754,2.8817877788011747e-5,3.68800221691817e-5,0,0.11346816383546743,1227,11659429
final,311,-1600.1210810975788,0.3161219489914712,341.2397930644728,5.350090705264323,2.594775518305526,4.2444444145058595,2.4396455455803796,5.193169370804927,1.9293637858796289,0.9807575288250535,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09942027616388105,1.4331703604564272e-4,0.8761286643962154,5.5406147646576705e-5,7.427511433736135e-5,0,0.12374165434180073,2477,11659356
final,209,-1600.625983128398,0.40226731202432703,415.20654323928284,5.430987315039011,2.6150236486963285,4.252040960912234,2.4553368146642094,5.030545296760798,2.0131055024205873,0.9761647239079727,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09419570206911003,1.4331703604564272e-4,0.8976359960774482,3.28508997158097e-5,4.014156936553248e-5,0,0.10229101145347053,1314,11658737
final,165,-1600.7110826421151,0.2617629841944797,369.1847067181639,5.528787120466302,2.885214877269104,4.307092761300484,2.913898773955645,5.178905339476743,2.447833408829853,0.9775200103560572,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09161543176639761,1.4331703604564272e-4,0.8438919625477256,5.5493110320217546e-5,6.758666295568999e-5,0,0.15598495767899845,2262,11659105
final,354,-1600.7305548924621,0.32587511847593104,296.63220994788554,5.118413132823432,2.848076238710957,3.8130862079404575,2.887671529367061,4.751552726279976,2.2865367343018694,0.9819957848076951,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09559691317841641,1.4331703604564272e-4,0.8756903700914604,3.3107058879531906e-5,4.245594338178314e-5,0,0.12423406690627825,1321,11659145
final,112,-1600.9835942577329,0.20590747727810094,718.0787987681799,7.546434885616198,3.047355596425603,5.806518897712445,2.9004976203366346,7.114188822418041,1.9764331348753659,0.9573156673165989,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.10271246625131143,1.4331703604564272e-4,0.8106384953298988,5.832480190152578e-5,7.745190605452614e-5,0,0.1892257279621451,2551,11658848
final,115,-1600.994169028552,0.40354182373612213,246.2315405371317,5.1999733672490125,2.4382083980542966,3.8212893914321278,2.498334296763539,4.8601851322775325,1.6642302395620987,0.9850394527051665,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08816863268606023,1.4331703604564272e-4,0.900963572404999,2.3073517803106037e-5,2.727650059995435e-5,0,0.09898607757659794,868,11658387
final,317,-1602.1277012514017,0.42932351366701405,435.1511885033985,4.469281593088226,3.3239180603740106,3.3395319447060943,3.156300484501909,4.364465058263133,2.498067703574478,0.979718442399471,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09869356270527117,1.4331703604564272e-4,0.9038273781101752,3.0963552296539226e-5,4.314312134393139e-5,0,0.09609851521618429,1390,11658869
final,346,-1602.1470121492264,0.4016115962532368,311.5618683688762,4.996944218350462,2.368951873057659,4.01298310286465,2.20190353355887,4.902134858116486,1.8172337718764435,0.9872194584657309,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08993076152657543,1.4331703604564272e-4,0.8970634489659505,1.338059198312124e-5,2.015666100021469e-5,0,0.10290301378106625,659,11658677
final,150,-1602.3916444265037,0.3239605692382297,332.9404034292245,5.442210039130255,2.321353240788266,4.140228760742359,2.5269780356327036,4.945130843691087,2.0416693619303414,0.9844245008229074,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09034112863370518,1.4331703604564272e-4,0.87010057208026,3.0535650200059976e-5,4.0228145909629575e-5,0,0.12982866412363026,1249,11658504
final,136,-1602.4792219223368,0.4044076749780755,219.36255835500629,5.148903576093371,2.7050322639837807,3.7889150477074742,2.834437254026336,4.770738228788801,2.026500489144396,0.980060753783749,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09509432854458966,1.4331703604564272e-4,0.8950698267385667,2.9847817301167222e-5,3.816746752591786e-5,0,0.10486215797660614,1224,11659144
final,286,-1602.579247883122,0.39311872439640233,274.4196150265073,5.346049422875736,2.5036728674216477,3.883103107737629,2.6693185142458487,4.834825138420992,1.843618632475708,0.9826804763963,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08740393353131037,1.4331703604564272e-4,0.8927141215506992,2.9504845227359705e-5,3.748144582661684e-5,0,0.10721889215824687,1237,11659102
final,367,-1602.8688768904376,0.30507019212766684,297.9573306250935,6.880481761099149,2.060998955544108,5.245735739889993,2.1247937356077142,6.447759116249759,1.2632234854979683,0.9691288788478198,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08762630534921813,1.4331703604564272e-4,0.8626352254656198,4.1598268963085525e-5,5.2147933050630926e-5,0,0.13727102833236648,1537,11659139
final,46,-1602.8764080152896,0.24286369056253693,247.0934428179743,5.955216836611901,3.828159491295478,4.458481304614902,3.581792876085522,5.562800518847668,2.956351844949197,0.9625162334643412,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09813591661155255,1.4331703604564272e-4,0.832775095546881,5.4209779667266894e-5,7.282294768593289e-5,0,0.16709787172576573,2287,11658413
final,91,-1603.0553135464427,0.3383959807149937,228.9219259057365,6.0553898420832875,1.9116836732845386,4.477373823417693,2.243523777588482,5.456515795046242,1.4252489741754824,0.9821489231084678,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09850741307856799,1.4331703604564272e-4,0.8807266717043016,2.0756657354761295e-5,2.7017963085743007e-5,0,0.11922555367525778,902,11658910
