week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
233,10938049,163,224,0,723759,623,11662222,613,10938046.56,171.08,224.04,0,723779.72,619.8,11662221.4,607.52,10937765,116.20000000000002,154.4,0,723692.4,486.2,11662124.2,444.20000000000005,10938264.399999999,271.39999999999986,285.79999999999995,0,723923.6,761.3999999999999,11662334,766.4,2015-04-02
234,10942587,168,229,0,722557,626,11665571,614,10942607.44,175.2,229.72,0,722554.8,611.76,11665567.16,623.76,10942030.600000001,83.2,118.20000000000002,0,722265,355.8,11665423.4,342.6,10943123.2,285.2,352.9999999999999,0,722889.8,892.7999999999997,11665704.399999999,864.3999999999999,2015-04-09
235,10947145,152,199,0,721322,571,11668924,564,10947167.64,167.2,211.56,0,721346.24,602.4,11668892.64,596.76,10946143.8,62,120.80000000000001,0,720782.2,316,11668706.6,280.6,10947934,307.19999999999993,371.39999999999986,0,722029.8,1023.9999999999995,11669077.8,1055.5999999999995,2015-04-16
236,10951833,166,206,0,720013,582,11672193,558,10951742.4,167.96,217.4,0,720074,590.08,11672201.76,577.44,10950046.4,71.4,79.2,0,719242.2,239.60000000000002,11671942.6,220.8,10952829.399999999,283.9999999999999,400.7999999999999,0,721258.2,1044.3999999999996,11672433.8,943.7999999999997,2015-04-23
237,10956371,178,209,0,718801,579,11675519,595,10956275.16,178.68,214,0,718861.28,603.92,11675529.12,594.04,10954036.2,59.6,76.4,0,717641.6,215.60000000000002,11675244.2,184.60000000000002,10957773.6,330.3999999999999,432.1999999999998,0,720586.4,1135.9999999999993,11675823.8,1139.3999999999992,2015-04-30
238,10961048,163,199,0,717480,560,11678834,536,10960828.36,168.96,215.08,0,717625.28,595.44,11678837.68,581.92,10958124,47.8,71.6,0,716051,235,11678503.6,233.6,10962605.2,350.39999999999975,427.9999999999997,0,719923.4,1112.3999999999992,11679127.4,1042.9999999999995,2015-05-07
239,10965715,141,194,0,716189,526,11682160,511,10965426.08,160.2,205.32,0,716391.6,583.44,11682183.2,599.12,10962291.4,35.2,60.2,0,714469.4,169.8,11681849.2,164.8,10967596.4,331,415.39999999999986,0,719147.4,1172.7999999999993,11682511.6,1342.9999999999993,2015-05-14
240,10970276,129,166,0,714918,482,11685448,495,10970013.84,162.4,198.2,0,715131.4,552.2,11685505.84,564.88,10966489.8,40.6,50.2,0,712769.6000000001,126.4,11685231.2,106,10972603.399999999,363.79999999999984,439.5999999999999,0,718238,1132.7999999999997,11685829.4,1283.7999999999995,2015-05-21
241,10975169,122,165,0,713481,470,11688790,470,10974602.08,149.96,187.52,0,713869.92,540.52,11688809.48,529.08,10970640.399999999,44,60.6,0,711211.6000000001,155.6,11688560.2,171.6,10977444.2,365.7999999999999,460.5999999999997,0,717392,1248.7999999999993,11689136.8,1120.599999999999,2015-05-28
242,10979887,101,160,0,712142,440,11692075,428,10979194.16,141.56,184.92,0,712585.64,528.08,11692106.28,520.96,10974722.600000001,42,55.8,0,709602.6000000001,165.6,11691906.8,151.6,10982406.2,406.1999999999996,460.99999999999955,0,716526.4,1260.999999999999,11692377,1315.599999999999,2015-06-04
