week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
1,10855635,14476,15989,0,27693,43567,10914910,6370,10856865.4,14602.04,15429.12,0,28021.16,43456.76,10914917.72,6609.24,10848787.2,9565.2,12076.400000000001,0,25390.4,37702.2,10914774.8,5387.2,10865971.2,18268.8,18252.8,0,31423.199999999997,48867.8,10915056.2,8045.4,2010-10-21
2,10784456,22694,26279,0,82808,64041,10918020,9903,10784393.24,24418.56,26733.4,0,82458.96,65869.52,10918004.16,9993,10742194.6,16870.800000000003,20321.4,0,68987.8,51460.600000000006,10917754.399999999,7273.200000000001,10811486.8,40119.799999999996,37971.59999999999,0,97190,90108.59999999998,10918252.6,13845.399999999998,2010-10-28
3,10661706,35325,40533,0,174417,101228,10921146,14426,10666949.04,38313.24,42868.28,0,172996.72,106966.8,10921127.28,15853.88,10570619.2,24533.4,29654,0,137880.40000000002,78789,10920885.8,11544.4,10721006.4,66285,61084.999999999985,0,235958.4,159407.19999999995,10921367.4,23050.799999999992,2010-11-04
4,10505025,47768,56819,0,303316,148526,10924243,21800,10499226.56,50989.12,60636.6,0,313376.48,158733.84,10924228.76,24062,10321716.2,30751,40844.2,0,248707.8,107118.40000000001,10923942,15486.400000000001,10592493.8,87805.4,101255.19999999998,0,426453.8,266208.99999999994,10924454.8,40540.2,2010-11-11
5,10326604,60254,74303,0,473123,201437,10927384,28576,10283026.44,66153,76395.8,0,501760.48,205138.64,10927335.72,30704.32,9965589.6,38726.8,49560.4,0,393959.6,142530.40000000002,10927034.8,19880.8,10432181.4,111659.19999999998,129203.59999999998,0,735040.6,337851.39999999997,10927578.8,53701.8,2010-11-18
6,10114389,72397,89326,0,674279,235101,10930494,35765,10038019.48,73371.28,90800.96,0,728258.92,242411.32,10930450.64,36944,9646174.4,51676.6,58051.4,0,556926.2,161558.4,10930131.6,25876.800000000003,10254289.399999999,102280.99999999997,126905.79999999999,0,1070753.2,363631.6,10930709,56667.99999999999,2010-11-25
7,9813335,75893,97197,0,925666,270623,10933639,42334,9760333.88,82678.12,101026.76,0,989540,273645.76,10933578.76,41816.16,9309154.6,51920,65804.2,0,758255,190759.2,10933148.600000001,26381,10041418.8,116641.99999999999,136468.59999999998,0,1404952.7999999998,358693,10933839.600000001,61638.399999999994,2010-12-02
8,9543576,79394,109095,0,1210324,294217,10936748,44064,9470303.68,85570.32,107361.08,0,1273468.76,293100.8,10936703.84,43876.84,8989985.8,58943.6,69906.4,0,971732.6,193218.2,10936258.2,29656.199999999997,9819920.6,126495,144870.19999999995,0,1733356,408466.79999999993,10937033.4,60462.999999999985,2010-12-09
9,9234540,77413,106010,0,1516338,297451,10939851,46798,9165020.48,83578.04,114600,0,1576634.52,313992.8,10939833.04,47676.6,8684925.8,56117,75900.2,0,1219786.8,213740.8,10939340.2,30279,9574874,141889.39999999997,185678.59999999992,0,2058771.8,495369.59999999974,10940175.8,76781.39999999997,2010-12-16
10,8930706,78121,101196,0,1808694,296063,10943021,43636,8874252.76,80289.44,107133.72,0,1881286.16,301523.2,10942962.08,45152.44,8306583.4,49236.399999999994,65233,0,1427271.4,188316,10942561,27277.8,9390161.8,131376.59999999998,159720.99999999997,0,2387772.4,471537.9999999998,10943244.8,71772.59999999998,2010-12-23
