parid,rho,tau,beta1,beta2,beta3,beta4,beta5,beta6,nu,gamma,sigma,theta0,alpha,mu,delta,sig_sq,S_0,E_0,I_0,A_0,R_0,pop_0
1,1e-8,15.987314420752227,9.639337053558535,1.1836747996943497,6.823902002387709,9.183018766425292,9.7005250724332,4.921417893418399,0.9826624893583357,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.448005686391648,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819
2,1e-8,9.706942109856755,8.0609255635256,5.887945911792599,0.24164135199766212,7.127204239655718,3.5584072705280603,8.965951036765269,0.9955444221035578,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.465553331197255,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819
3,1e-8,7.214653261238709,7.5801742777785535,8.389120570079392,0.9111680821291226,4.618035466948416,7.971985081879195,6.125349377203768,0.9721455627004616,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.2580807793918727,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819
4,1e-8,2.932510983431712,0.7020253650828846,2.1996703029959965,5.217935818260043,1.4583433428007675,5.009346053037669,9.912354534035,0.9826940953964367,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,1.5356853215433248,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819
5,1e-8,11.8636751587037,1.143058534665971,4.806112023589844,9.663121430237007,5.304286631759441,8.22244314028962,3.5352824099307356,0.9908659765962511,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,4.063899673243077,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819
6,0.05263158842105263,3.014423478161916,5.5560272610533685,1.0443818601422032,4.187146186012915,4.627458067216791,0.09082072979210878,0.9614717550301035,0.9883651914075017,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.262228200094014,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819
7,0.05263158842105263,3.382733961334452,5.109103459888283,2.2476771900732064,9.413652487623466,6.781684146584537,2.15602491362229,6.208615601441913,0.9746497376007027,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.6763233346198708,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819
8,0.05263158842105263,3.510673866374418,1.8760046231302503,7.846806487283853,6.480831914001953,5.151140904538932,2.718594815378855,2.966919227740887,0.9604630575864576,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,2.669240067946284,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819
9,0.05263158842105263,4.064938982250169,6.712798320551366,7.758451723717791,0.5596965071872294,7.8005907686763996,0.09092996228856808,9.735931707572522,0.969768467254471,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,0.1489633564294802,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819
10,0.05263158842105263,8.879629551200196,0.48494832918203523,1.2476598270607884,7.442540966695738,7.668684071628678,2.629978780906042,7.631104167322031,0.984647866920568,3.5,5,0,0.002397260273972603,4.287148804784646e-4,1.433170360456426e-4,3.32889247719093,0.9999981671250229,9.164374885617146e-7,9.164374885617146e-7,0,0,10911819
