"","parid","rho","tau","beta1","beta2","beta3","beta4","beta5","beta6","nu","gamma","sigma","theta0","alpha","mu","delta","sig_sq","S_0","E_0","I_0","A_0","R_0","pop_0"
"1",1,0.171838357115849,546.418178885524,6.40429693880218,4.66012593256995,5.5458937174881,4.17082999211054,6.08549183777307,3.36679988535433,0.97213056123743,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.01,0.999479700573353,2.46051416349059e-05,0.000495694285011745,0,0,10911819
"2",2,0.891600790928304,868.284869485656,5.880832885027,2.57397990024926,5.44883418969369,4.8962525610084,6.6789234117382,2.89412014714898,0.982662336107417,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.01,0.999576700701516,0.000253193133443227,0.000170106165040283,0,0,10911819
"3",3,0.517456512278755,153.826167957763,4.86783481904402,3.9943402998124,4.9208685702961,3.52130794972573,7.67654618255466,3.93386569031032,0.965742352189348,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.01,0.998484766771953,0.00120041583460165,0.000314817393445419,0,0,10911819
"4",4,0.770444358820143,837.020360413875,8.61123943731939,2.48564234539777,6.37250276351619,1.81371076327243,4.68895373923461,2.63545301903447,0.966882797570298,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.03,0.998437781357759,9.32684262557845e-05,0.0014689502159851,0,0,10911819
"5",5,0.50604064615861,312.055769213287,8.25060894408903,3.44698880006512,6.51989550954645,3.66160425016528,3.73737546586709,1.97259909663445,0.98076576977798,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.03,0.9984324615712,0.000573746805407777,0.000993791623392374,0,0,10911819
"6",6,0.901304966648445,158.781883976321,8.41245370233197,3.53161063667708,4.68477445035815,2.31132086833535,7.46279699565235,1.34937892374248,0.975897897382588,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.03,0.99837764589054,0.00128552492600283,0.000336829183457419,0,0,10911819
"7",7,0.319525600860888,179.971427552617,8.00234654271737,4.63738563872796,5.57824037066758,4.82911540990794,5.34093803670427,2.4016123072038,0.990348067498404,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.05,0.997114117527254,0.00107399238269693,0.0018118900900487,0,0,10911819
"8",8,0.740992933873474,459.882531455804,6.10295889898009,2.56098906622478,4.33764330773921,1.93733692324674,6.94138379325984,2.06509074797119,0.962061389825959,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.05,0.997905849991268,0.000873733835021538,0.00122041617371044,0,0,10911819
"9",9,0.495952211077123,232.326738722329,4.57983305412108,1.69153718665578,3.19780446453188,3.92901889198878,4.5795570048947,0.888203448238162,0.985208853140488,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.05,0.997688325682299,0.000156146005890916,0.00215552831181056,0,0,10911819
"10",10,0.164292159202119,322.994238664195,4.73088136236692,3.59681422288204,4.07917411460063,3.11883660562788,7.41568851582633,3.50929211872718,0.96860675621311,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.07,0.999176755551596,9.74088917242077e-05,0.00072583555667969,0,0,10911819
"11",11,0.916775849388617,356.590742862886,4.6863050852968,3.3770464052641,4.24953180072001,4.58930625879987,3.4795873805915,2.97494429039876,0.956667470978854,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.07,0.996173767157976,0.00169290591484598,0.00213332692717828,0,0,10911819
"12",12,0.887034694892685,503.801741037622,7.08692890218253,3.048997420487,3.21464004375456,3.94237721403654,4.04627715964904,3.19840238008311,0.978603252373071,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.07,0.996917562121563,0.00104213568022008,0.00204030219821726,0,0,10911819
"13",13,0.895893490590573,741.686752544653,6.43300686461763,1.76089517740348,2.78945947580322,2.6778767978943,4.07233267432969,1.0326763479341,0.957331162032856,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.09,0.997805564773526,0.000544368582828603,0.00165006664364552,0,0,10911819
"14",14,0.983838037061919,479.026846876791,8.06615417141032,2.3551415146343,6.66446748761864,3.68283598842908,7.83989364097165,1.62183273310763,0.984423419580602,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.09,0.999758944206521,6.54892024758849e-05,0.000175566591003303,0,0,10911819
"15",15,0.651549557199347,607.562365643584,4.42570316966082,1.76022714017055,4.33432903826552,2.68650847152135,5.49032447020549,1.31466189909452,0.993181116251639,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.09,0.996969187794356,0.000894885902101476,0.00213592630354211,0,0,10911819
"16",16,0.531349218246775,505.104546627388,7.59437018918096,2.78607250525243,3.48421162501366,3.26248752310737,7.03849075312056,4.23831206248069,0.971938637866186,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.11,0.998664692711487,5.58437385314774e-05,0.00127946354998132,0,0,10911819
"17",17,0.638877430594667,185.734692319501,7.66116752278555,3.83322953950762,5.77897798262306,4.54516036376891,5.33043998548822,0.59219019156516,0.966912957530005,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.11,0.99642317962872,0.00166815709370839,0.0019086632775719,0,0,10911819
"18",18,0.233834602938175,157.370247666811,4.9010218462946,4.37063721705314,3.10973485328948,2.07647597234185,3.93377214017731,2.88568122553353,0.978375121791078,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.11,0.997699750356729,0.000103006240650054,0.00219724340262115,0,0,10911819
"19",19,0.329841994929487,900.090483149755,8.32468928658761,2.31399430264815,4.50192844224136,3.4184096513376,5.56021552820617,4.06789156112363,0.968348520849508,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.13,0.998658376320836,0.00124557608756029,9.60475916042375e-05,0,0,10911819
"20",20,0.393699177554935,178.721448968576,6.76754962650337,3.21511961815624,6.41654416576041,3.68559277089703,4.92847653446519,4.19806594037781,0.978114668837625,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.13,0.998357574401286,0.000127602971307104,0.00151482262740706,0,0,10911819
"21",21,0.690468429926419,342.895731465861,7.50366497799311,3.5968727853542,4.1861577245083,2.11404621867327,5.68641642209608,1.28456100500282,0.985266420310166,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.13,0.997922306142391,1.6788807710736e-05,0.00206090504989864,0,0,10911819
"22",22,0.799940832866467,635.730207987627,8.156879972248,1.53849897429494,6.50344006129333,4.49298572292322,5.39970277094491,3.88388485897841,0.990289244983348,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.15,0.996445656451235,0.00131192075175096,0.0022424227970142,0,0,10911819
"23",23,0.671267519168967,644.632861209613,7.06785247752797,3.93573854936225,4.90501401055069,1.84973300861114,5.38519302367518,1.93806289295399,0.971453820279564,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.15,0.997212288334335,0.0010550965810159,0.00173261508464945,0,0,10911819
"24",24,0.351359804458313,683.669060904364,4.69542158660292,4.34389449447216,3.10102502664459,4.8220952922736,6.63976797987965,4.01481486575921,0.996168457982972,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.15,0.999188365347823,0.000703402838283565,0.000108231813893776,0,0,10911819
"25",25,0.846698703407643,807.52448036819,7.45979377741136,2.50795118737684,3.97163589517874,4.84884833997796,6.99101580275187,2.11189389626065,0.97981104452124,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.17,0.998058089271146,0.0015563175913306,0.000385593137523386,0,0,10911819
"26",26,0.541640820698261,661.788657222544,5.75950166775082,3.10521246890214,4.95568823686791,4.82186738400009,4.07941077205056,2.595089907648,0.964294900761783,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.17,0.997776826802368,0.00124906287931711,0.000974110318315016,0,0,10911819
"27",27,0.422176512645894,181.297078515807,6.44576537551373,1.71466796039345,3.66268191860203,3.64162679851562,6.78240736723899,1.71214796316485,0.993680532788641,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.17,0.996794435748945,0.00126134647863168,0.00194421777242311,0,0,10911819
"28",28,0.967784325751995,258.080303947996,6.14972524894732,3.71882515333566,4.26957446042288,2.29089746264104,6.46899775905951,1.43127051450552,0.956385190285854,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.19,0.997724061688676,4.19255465185132e-05,0.00223401276480579,0,0,10911819
"29",29,0.177643034517777,410.614692081666,7.40303812572586,4.49070062255915,4.65421091261083,2.76340152357212,3.59308014062633,4.23260525472686,0.995381729451191,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.19,0.997201803368413,0.00166125806369506,0.001136938567892,0,0,10911819
"30",30,0.79614778752769,766.345389279302,8.15939022242713,3.74737937073516,4.05529606492048,1.8918138240651,5.96934241062582,3.68891548403216,0.982664677662459,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.19,0.995862621570804,0.00168903147469233,0.00244834695450353,0,0,10911819
"31",31,0.595312679839562,299.087004214917,6.31651580671931,3.24457764018503,3.70808718968669,1.64792494307732,7.37754561163312,0.924341401281212,0.996022524694035,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.21,0.99728970928416,0.000364456850819907,0.00234583386502034,0,0,10911819
"32",32,0.18608035995862,743.688698272199,7.63044095869028,2.12377717422095,4.51849754895594,3.3051481559212,6.31550988260335,3.50753007655128,0.973079258286992,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.21,0.998712177633789,0.00114526414439792,0.000142558221813387,0,0,10911819
"33",33,0.588512386932228,411.025526687536,7.11003674626953,2.59011625381238,5.16408379610733,1.99788039504108,4.72071317299957,3.45038629275787,0.977230805398102,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.21,0.998380720359173,0.000246720527188264,0.00137255911363837,0,0,10911819
"34",34,0.67225112941102,408.411057550442,4.69818642335963,1.59195298039892,5.03802235186851,2.5141617792186,6.56783404082066,3.07749885733831,0.964059569623563,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.23,0.998815926545023,0.00112062844769774,6.34450072790895e-05,0,0,10911819
"35",35,0.520682852466451,166.611820718928,4.4001173661524,2.28730487123581,3.92634401008041,4.30691246076649,4.3530578407929,2.18814622447186,0.962371256337464,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.23,0.996911741760067,0.00110255261040522,0.00198570562952785,0,0,10911819
"36",36,0.25261584562254,322.749349597538,6.97072218548362,4.08227003520723,6.37909098795079,2.10326248022422,7.45325362284216,1.79187545805374,0.997844024386383,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.23,0.997958096819547,0.00169595990660625,0.000345943273847209,0,0,10911819
"37",37,0.662150294494737,891.536369175111,4.53693798393737,2.379914785392,4.42777011715241,4.36690073504073,6.82313209785258,1.70407497726681,0.989778291520248,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.25,0.99854961461015,0.00142318740150147,2.71979883487867e-05,0,0,10911819
"38",38,0.300171798873612,866.392005327926,8.34322834002952,2.10274177657473,3.21727193285706,2.3654759282876,6.71858351702228,0.718341605065705,0.965419355233165,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.25,0.998245625647348,0.000565997457844643,0.00118837689480731,0,0,10911819
"39",39,0.409471304299341,757.764119546925,5.57978485760783,4.56354353121176,6.53901578914593,1.85571356190411,5.45752539572823,2.60019072745211,0.977055350593662,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.25,0.998366927664494,0.00039397481466909,0.00123909752083743,0,0,10911819
"40",40,0.402964117875768,331.598363273391,5.88652647167873,2.00155595495487,5.21456185940037,2.51879142585576,5.09059419770164,1.95768114400456,0.989014394268753,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.27,0.998005953255255,0.00103105936815785,0.000962987376587423,0,0,10911819
"41",41,0.92687743573862,865.112829933749,6.49016945312617,2.45941978817895,6.35553328365425,4.23350257565923,4.70938375136725,4.12082223313939,0.991162049230403,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.27,0.99728607781443,0.00158334031935103,0.00113058186621866,0,0,10911819
"42",42,0.485559476763239,772.121028656454,4.23762546874317,4.67006090066956,4.60366023378597,3.15534320523055,6.39518555225361,2.85322878759915,0.973596243591429,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.27,0.996145532212928,0.00158694250740489,0.00226752527966679,0,0,10911819
"43",43,0.496369227135176,272.864543184003,5.88050497977039,4.30380328647385,6.08266213295502,3.95635604160331,7.62902955035122,1.38464482373514,0.978457119172663,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.29,0.997578715665559,0.000580388978713393,0.00184089535572801,0,0,10911819
"44",44,0.58417147295707,955.224392065139,5.31468672627737,3.2383166847723,5.60930215372262,4.15909300819114,6.88658377325262,2.65564664909056,0.969299292174288,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.29,0.995875313195892,0.00181651274008732,0.0023081740640207,0,0,10911819
"45",45,0.621884405530213,807.490447319134,4.69142100118577,3.7097234627704,6.61589782745799,4.45593163095891,4.32462795832474,2.11552015404475,0.988903280356638,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.29,0.997656322015463,0.000164426592398382,0.00217925139213893,0,0,10911819
"46",46,0.873725231706052,673.550314052796,7.92833843182573,4.33552516940096,2.95345971121212,2.70922882312671,6.6983052005151,3.84831853580778,0.996190485666729,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.31,0.997084543571184,0.00160932022343067,0.00130613620538495,0,0,10911819
"47",47,0.613074638427549,582.458792156397,6.26122622256681,4.10590368804392,3.33140246656533,1.5318152229441,6.50278350216957,2.80751080312731,0.976843289912351,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.31,0.997416304877004,0.00171165917343994,0.000872035949555977,0,0,10911819
"48",48,0.168586123299905,947.201498952386,4.66751800171507,3.68435908131566,3.54958631993431,4.1298573172431,5.01753919752029,0.597723887701874,0.989101014223851,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.31,0.997860425174021,0.00104739684889161,0.00109217797708772,0,0,10911819
"49",49,0.721677400799004,438.995509700747,8.31753143029506,3.11631099453179,5.34389588350892,4.37120404427453,4.44615234334426,0.845075190486712,0.958881170598471,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.33,0.997718968873967,0.000256452544260572,0.00202457858177214,0,0,10911819
"50",50,0.280390471165502,347.975172204462,7.33515563420716,4.2742243131606,3.58996331125693,4.35754720175141,7.13132360797919,4.03496921765231,0.997528577880611,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.33,0.999018814456489,0.000218405135086932,0.000762780408423885,0,0,10911819
"51",51,0.852326705700852,471.436545802409,4.72110097922933,4.49242284129021,5.10341592295829,1.78533083883384,3.87137080113189,2.92564735358548,0.996918347647928,3.5,5,0,0.0023972602739726,0.000428714880478465,0.000143317036045643,0.33,0.997856251955591,0.000652129872557068,0.00149161817185205,0,0,10911819
