week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
1,10770226,41550,40616,0,66647,82250,10914931,7056,10762831.88,44403.48,41040.88,0,66657.92,83979.84,10914934.16,7219.36,10668820,25734.4,23507.6,0,50162,51089.6,10914766.8,4220,10813873.4,83017.59999999998,69251.59999999995,0,93763.99999999997,139313.79999999993,10915112,11830.999999999993,2010-10-21
2,10484513,102634,103836,0,231818,223759,10918075,18651,10448094.08,116242.76,109780.08,0,243944.04,246357.64,10918060.96,20915.88,10149363.2,59323,54734.200000000004,0,148828.2,126743.80000000002,10917844,11158.400000000001,10655471.8,210332.39999999997,198552.99999999988,0,389029.99999999977,432755.7999999998,10918260.6,38053.999999999985,2010-10-28
3,9685323,278642,256016,0,696366,649443,10921216,51906,9613503.56,301560.76,280462.16,0,725678.52,653480.12,10921205,55683.04,8470994,139002.6,112698.2,0,364579.80000000005,281519.4,10920972.399999999,23376,10284730,679987.5999999995,526661.9999999998,0,1263773.7999999993,1250539.3999999997,10921374.8,105888.59999999998,2010-11-04
4,8154276,479977,564546,0,1704525,1355923,10924385,117318,7965019.16,520475,589707.96,0,1849173,1435692.08,10924375.12,122994.12,5843099.800000001,227638.8,251228.8,0,955222.4000000001,630011,10924077.8,53227.2,9493854.8,922430.7999999999,1035837.5999999999,0,3414278.799999999,2644792.4,10924561,224454.4,2010-11-11
5,5877996,613306,809546,0,3550463,2048139,10927537,178027,5753418.16,590183,787407.8,0,3796535.84,2151823.8,10927544.8,181325.8,3349447,401862.19999999995,566346,0,2076739,1506051.2000000002,10927135,124024,7662551.6,747080.3999999999,1097563.7999999998,0,6119755.800000001,3063731.3999999994,10927856.6,261583.99999999994,2010-11-18
6,4236994,376259,569583,0,5775248,1846283,10930747,159979,4102699.52,392958.76,610044.84,0,5825048.2,1863161.28,10930751.32,161738.32,2409013,169218,340736.2,0,4274510.4,1209163.4,10930386.8,108411.2,5379173.599999999,706630.1999999997,915114.7999999996,0,7959335.399999999,2565766.5999999996,10931065,219842.19999999995,2010-11-25
7,3219437,199916,348725,0,7024764,1052957,10933893,90256,3271600.64,191761.32,329166.52,0,7141363.48,1051870.08,10933891.96,89889.52,2159711.4000000004,48001.6,104237.79999999999,0,5958858.8,402183,10933611.2,34232.8,4324803.399999999,363286.9999999999,532959,0,8622004.6,1682718.9999999995,10934173.8,150064.79999999993,2010-12-02
8,2893701,65460,156420,0,7817973,510279,10937050,41088,2913295.92,74208.4,149666.32,0,7799874.08,497992.68,10937044.72,42258.52,2119539.4,10540.6,27323.600000000002,0,6807474.800000001,102698.4,10936717,9069.4,3801620,139606.4,281268,0,8779617.799999999,922417.3999999997,10937364,76531.79999999999,2010-12-09
9,2763125,27011,51927,0,8083950,174718,10940151,14945,2792402.48,29748.32,56545.76,0,8061478.32,188639.72,10940174.88,16138.56,2126562.4,3817.4,7430.4000000000005,0,7237196.6,25213.2,10939937.8,2053.2,3520380.2,68915.79999999996,117945.19999999992,0,8802331.2,393872.3999999998,10940555,34352.599999999984,2010-12-16
10,2726769,10201,17538,0,8182803,60484,10943298,5488,2759978.28,11426.44,22503.8,0,8149413.4,74454.4,10943321.92,6418.88,2147344.8,844.4000000000001,1945.8000000000002,0,7464918.6,7859,10943040.8,644.2,3388570.1999999997,31652.199999999997,57731.79999999999,0,8793134.799999999,190189.19999999995,10943710.8,17142.6,2010-12-23
11,2728796,3557,6808,0,8202902,23327,10946415,1811,2762601.16,4647.44,8680.64,0,8170518.52,28007.68,10946447.76,2421.04,2171619.8000000003,250.80000000000004,545.8000000000001,0,7555902.199999999,1922.2,10946160.6,188.8,3350156.2,13718.199999999997,26263.6,0,8774002.8,78283.4,10946842.2,6874.4000000000005,2010-12-30
12,2745215,1287,2627,0,8199379,8806,10949533,769,2778104.28,1754.16,3420.36,0,8166289.92,11269,10949568.72,962.72,2196784,51.6,147.8,0,7583754.4,498.80000000000007,10949273,31.200000000000003,3352299.8,6312.5999999999995,12626.599999999999,0,8752606.2,39518.2,10950000.4,3471.4,2011-01-06
13,2767064,402,822,0,8184493,2801,10952681,227,2798269.8,726.16,1386.64,0,8152313.4,4691.8,10952696,400.72,2222073,10.8,38.2,0,7582761.2,130.20000000000002,10952346.2,11.200000000000001,3362783.2,3150.199999999998,5403.6,0,8730615.2,18357.6,10953037,1586.6,2011-01-13
14,2789740,151,328,0,8165807,1107,10955801,95,2820651.6,297.28,586.76,0,8134297.28,1897.48,10955832.92,152.16,2247301.8,3.0000000000000004,5.200000000000001,0,7572376.600000001,22.400000000000002,10955464.600000001,2,3380389.2,1049.3999999999999,2478.7999999999997,0,8708514.799999999,8376,10956197.399999999,648.5999999999999,2011-01-20
15,2813232,57,114,0,8145756,396,10958992,34,2843782.64,132.28,237.56,0,8114830.08,791.88,10958982.56,69.24,2272370.2,1.8000000000000003,0.6000000000000001,0,7557099.800000001,4.800000000000001,10958614.600000001,0.6000000000000001,3400288.5999999996,563.7999999999995,987.7999999999997,0,8686559.2,3317.3999999999996,10959378.4,296.4,2011-01-27
