week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
233,11362741,195,277,0,298942,799,11662146,847,11362724,198.16,280.28,0,298939.96,799.04,11662142.4,873.76,11362573.4,169,239,0,298872.4,746.4,11662021.6,561.2,11362867,232.2,312.4,0,298989.4,866.8,11662257.8,1235.6,2015-04-02
234,11366161,177,243,0,298895,664,11665462,640,11366147.48,177.16,237.96,0,298911.84,678.48,11665474.44,666.8,11365883.2,151.4,192.2,0,298802.6,597.8,11665321,318.6,11366375,210.39999999999998,272,0,299049.2,771.5999999999999,11665671,1182.6,2015-04-09
235,11369592,160,217,0,298716,582,11668753,626,11369624.04,157.36,216.36,0,298761.84,593.28,11668759.6,608.96,11369334.600000001,120.6,173.8,0,298611.8,511.4,11668552.8,412,11369922.600000001,193.2,261.6,0,298968.4,690,11668981.399999999,846.9999999999998,2015-04-16
236,11373115,144,194,0,298542,539,11672027,464,11373162.16,142.2,188.44,0,298572.2,534.92,11672065,470,11372851.4,102.6,143.8,0,298355.4,435,11671877.6,262,11373489.8,180.2,221,0,298869.8,622,11672329.4,718.1999999999998,2015-04-23
237,11376773,122,159,0,298285,459,11675378,440,11376805,121.68,160.56,0,298306.8,465.8,11675394.04,431.92,11376430.8,88.4,117.8,0,297976.8,344.6,11675195.2,228.2,11377240.2,148.99999999999997,214.39999999999998,0,298642.4,586.6,11675670.8,632.2,2015-04-30
238,11380420,104,141,0,297936,411,11678688,380,11380505.48,103,140.4,0,297967.56,402.92,11678716.44,375.68,11380100,67.6,104.80000000000001,0,297558.4,306.6,11678479.2,187.8,11381022.2,134.39999999999998,177.2,0,298395.8,476.59999999999997,11679023.2,599.9999999999998,2015-05-07
239,11384212,88,113,0,297587,349,11682034,296,11384266.52,86.64,115,0,297587.96,342.6,11682056.12,310.96,11383798.8,60.4,85.80000000000001,0,297096.2,255,11681795.8,177.8,11384824,116.39999999999998,144.39999999999998,0,298041,415.79999999999995,11682437.6,480.2,2015-05-14
240,11388062,76,97,0,297123,277,11685319,262,11388072.64,72.52,99.32,0,297128.08,284.64,11685372.56,288.88,11387536.2,47.599999999999994,66.6,0,296603.8,212.2,11685104,130,11388751.8,92.6,135.39999999999998,0,297601.60000000003,369,11685879,534.6,2015-05-21
241,11391813,68,92,0,296629,253,11688694,216,11391930.36,66.04,87.36,0,296628.92,251.56,11688712.68,208.32,11391416.8,46.2,58.2,0,296057.80000000005,178.8,11688363.8,96.2,11392584,89.39999999999998,119.80000000000001,0,297194,322.79999999999995,11689214.2,355,2015-05-28
242,11395747,60,79,0,296163,217,11692041,168,11395819.76,59,76.52,0,296106.92,218.48,11692062.2,190.84,11395276.8,36.8,44.2,0,295511,146.8,11691657.4,107.80000000000001,11396581.399999999,83.19999999999999,109.6,0,296699,297.2,11692528.600000001,326.4,2015-06-04
243,11399641,51,71,0,295623,193,11695355,172,11399714.28,52.2,70.72,0,295562.72,196.68,11695399.92,176.28,11399095.2,31.8,42.6,0,294962.2,125,11695041.399999999,92.80000000000001,11400420.4,79.8,94.79999999999998,0,296189,257.4,11695878,285,2015-06-11
244,11403494,49,67,0,295032,182,11698724,172,11403646.96,47.24,66.68,0,295009.64,184.84,11698770.52,175.36,11403041.2,22.200000000000003,39.2,0,294393.8,127.2,11698361.600000001,105.2,11404372.399999999,67.99999999999999,84.19999999999999,0,295630.2,264,11699280.399999999,293,2015-06-18
245,11407392,51,61,0,294517,176,11702122,162,11407568,48.52,62.48,0,294446,172.6,11702125,179.4,11406944,20.8,35.6,0,293829.2,102,11701708.4,89.4,11408271.8,77.79999999999995,90.39999999999998,0,295061.6,230.59999999999997,11702566.2,287.79999999999995,2015-06-25
246,11411402,51,60,0,293965,158,11705448,152,11411469.92,50.16,63.48,0,293868.4,172.84,11705451.96,160.64,11410777,31.8,36.8,0,293284.39999999997,109.60000000000001,11704966.6,69.80000000000001,11412207.399999999,74.79999999999998,89.99999999999999,0,294462.2,263.5999999999999,11705942.2,278.5999999999999,2015-07-02
247,11415357,53,62,0,293419,167,11708782,163,11415364.92,53.32,64.16,0,293304.44,175.52,11708786.84,152.2,11414600.2,37.6,41.4,0,292723,117.2,11708245.6,68,11416096.8,72,86,0,293875.6,231.79999999999998,11709292.2,234.59999999999997,2015-07-09
248,11419323,54,64,0,292859,182,11712198,152,11419290.32,51.84,64.72,0,292745.48,183.08,11712152.36,169.4,11418489.2,34.6,44.400000000000006,0,292154.4,134.6,11711529,102.6,11420021,66.19999999999999,85.6,0,293335.8,234.39999999999998,11712670,270,2015-07-16
249,11423264,55,70,0,292294,191,11715476,171,11423164.12,52.56,69.08,0,292182.48,186.6,11715468.24,176.88,11422302.6,30.2,41.2,0,291568,133.4,11714837.6,91.6,11423869.8,71,90.6,0,292776.8,239,11716023.8,252.8,2015-07-23
