week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
1,10908493,755,1280,0,4388,5653,10914922,4775,10908480.84,757.72,1286.2,0,4396.2,5644.96,10914920.96,4860.12,10908304.8,707.8,1221.4,0,4358.8,5563.4,10914775.4,846.6,10908707.6,807.5999999999999,1341,0,4450.6,5739.4,10915065.399999999,9918,2010-10-21
2,10909638,530,760,0,7158,2272,10918094,2357,10909607.08,526.4,764.88,0,7173.32,2269.32,10918071.68,2432.04,10909210,476.8,697.8,0,7073.4,2162.2,10917870,208.20000000000002,10909883.600000001,561.8,838.4,0,7345.4,2424.8,10918229.8,7707.799999999999,2010-10-28
3,10911187,460,617,0,9037,1729,10921221,1419,10911097,458.32,613.52,0,9042.16,1737.36,10921211,1611.6,10910561.4,422.79999999999995,567.8,0,8830,1623,10920885.399999999,223.60000000000002,10911440,491.59999999999997,667.4,0,9272,1838,10921434.399999999,3241.4,2010-11-04
4,10912723,432,574,0,10626,1601,10924321,1578,10912654.96,438.12,574.96,0,10650.84,1594.76,10924318.88,1790.24,10912094.2,388.6,530,0,10422.8,1507,10923965,363.2,10912988.600000001,489.4,613.5999999999999,0,10925.599999999999,1695.8,10924544.2,4444.7999999999975,2010-11-11
5,10914309,447,577,0,12201,1579,10927478,1364,10914222.8,441.24,569.44,0,12198.04,1569.12,10927431.52,1542.2,10913580.2,394.79999999999995,510.4,0,11905.6,1434.4,10926989.4,535.6,10914733.2,465.8,612.8,0,12518.8,1682.6,10927743.8,3115.7999999999993,2010-11-18
6,10915844,450,569,0,13740,1578,10930562,1128,10915786.96,450.2,573.16,0,13742,1579.52,10930552.32,1595.44,10915102.600000001,396.20000000000005,532.4000000000001,0,13463.2,1457.4,10930044.2,304,10916409.8,500.4,632.5999999999999,0,14083.599999999999,1689.4,10930945.6,6169.199999999995,2010-11-25
7,10917393,454,592,0,15263,1620,10933661,1104,10917346.52,455.16,587.32,0,15301.36,1609.6,10933690.36,1112.88,10916607.6,400.4,528.4,0,14946.2,1458.8,10933240.8,247.4,10917982,498.6,634.8,0,15728.2,1704.6,10934092.399999999,2367.2,2010-12-02
8,10918940,455,589,0,16834,1637,10936812,1806,10918881.04,453,588.16,0,16883.2,1622.2,10936805.4,1993.4,10918097,407.20000000000005,540.5999999999999,0,16462.8,1524.6,10936292.8,488.8,10919609.2,487.59999999999997,640.8,0,17380.6,1714.4,10937150.6,4271.199999999997,2010-12-09
9,10920490,441,584,0,18467,1592,10939988,1388,10920487.56,438.32,580.28,0,18446.2,1599.96,10939952.36,1472.08,10919609.399999999,393.4,523.2,0,17933.4,1505,10939346.600000001,208.20000000000002,10921405.6,484.59999999999997,624.6,0,18936.4,1687,10940394,4097.199999999998,2010-12-16
10,10922173,421,548,0,19974,1520,10943113,1004,10922155.48,416.48,547.52,0,19955,1524.48,10943074.48,1192.84,10921218,376.8,497.20000000000005,0,19370.6,1397,10942508.2,258.6,10923119.8,450.4,613.2,0,20421,1667.1999999999998,10943473.8,2940.7999999999993,2010-12-23
11,10923988,387,514,0,21405,1456,10946183,1124,10923914,387.36,518.4,0,21374.92,1445.04,10946194.68,1390.56,10922915,344,473.4,0,20689.6,1330.4,10945615.8,350.8,10924884.4,428.4,575.2,0,21892.8,1546.6,10946611.2,3296.2,2010-12-30
12,10925822,357,474,0,22717,1350,10949299,1247,10925785.92,355.96,480.2,0,22699.76,1339.96,10949321.84,1455.48,10924737.6,325,428.6,0,21985.6,1254.8,10948737.8,314,10926843.8,395.6,535,0,23241.199999999997,1414.6,10949758.4,3562.599999999998,2011-01-06
13,10927905,328,440,0,23896,1242,10952461,906,10927774.28,327.2,443.92,0,23915.84,1238.72,10952461.24,1183.84,10926646.8,290.4,404.2,0,23216.6,1128,10951791.8,230.20000000000002,10928793.8,356.6,484.59999999999997,0,24488.6,1332.8000000000002,10952906.6,2824.1999999999985,2011-01-13
14,10929942,300,409,0,25031,1151,10955565,795,10929821.68,302.88,407.2,0,25032,1144.52,10955563.76,984.6,10928851.2,277.2,362.4,0,24339.6,1037.2,10955017.8,244.4,10930924.600000001,330.79999999999995,446.4,0,25622,1229.2,10956097.2,2415.999999999999,2011-01-20
15,10932091,277,372,0,26037,1016,10958669,831,10932026.36,273.88,373,0,26042.84,1039.28,10958716.08,1086.44,10931064.8,238,341.2,0,25288.2,969.5999999999999,10958157.4,145.2,10933095,311.8,402,0,26670.199999999997,1107.4,10959230.4,2559,2011-01-27
